titulo,datetime,duracao_min,genero_ano,sinopse,tem_imdb
Fantasma Neon,2025-04-22 06:00:00,23.0,Musical / 2021,João é um entregador de aplicativo que sonha em ter uma moto para conhecer o Brasil.,True
Guard Dog & Bill Plympton no Brasil,2025-04-22 06:23:00,7.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Cantoras Portuguesas,2025-04-22 06:30:00,15.0,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve.",False
Portugal... Minha Saudade,2025-04-22 06:45:00,105.0,Comedy / 1974 / 5.5,"Os gêmeos Sabino e Agostinho vivem separados um do outro. Sabino mora com o filho casado no Brasil e leva uma vida muito humilde, vendendo frutas nas ruas de São Paulo. Agostinho mora em Lisboa, Portugal. Por causa dos muitos conflitos com a família de seu filho, Sabino é colocado em um asilo. Um dia, seu irmão Agostinho chega, inesperadamente, de Lisboa e fica abismado com o jeito que tratam seu irmão e o leva para Portugal.",True
Guard Dog & Bill Plympton no Brasil,2025-04-22 08:30:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Cantoras Portuguesas,2025-04-22 08:35:00,15.0,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve.",False
Guard Dog & Bill Plympton no Brasil,2025-04-22 08:50:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Caramuru - A Invenção do Brasil,2025-04-22 08:55:00,90.0,Comedy / 2001 / 6.6,"Portugal, século 16. Após ser enganado pela sedutora Isabelle, o jovem Diogo é deportado para o Brasil, mas sua caravela naufraga. Por milagre, ele é salvo pelo cacique Itaparica. Em terras brasileiras, ele passa a ser chamado de Caramuru e vive um harmônico triângulo amoroso com as duas filhas do cacique, Moema e Paraguaçu.",True
Cantoras Portuguesas,2025-04-22 10:25:00,20.0,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve.",False
"Carlota Joaquina, Princesa do Brazil",2025-04-22 10:45:00,100.0,Comedy drama / 1995,"Uma história satírica do Brasil no século 18, narrando as aventuras de uma mulher sensual que manca e tem um bigode.",True
Guard Dog & Bill Plympton no Brasil,2025-04-22 12:25:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Bá,2025-04-22 12:30:00,15.0,Drama / 2015,O pequeno Bruno é obrigado a lidar com as mudanças que ocorrem em sua vida quando sua avo? e? trazida para morar em sua casa.,True
Cantoras Portuguesas,2025-04-22 12:45:00,15.0,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve.",False
Cinejornal,2025-04-22 13:00:00,15.0,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país.",False
Esquinas - Pílulas,2025-04-22 13:15:00,15.0,Documentary,Reportagens documentais inspiradas na seção homônima da Revista Piauí. Personagens e eventos peculiares são colhidos pelos quatro cantos do país com uma abordagem inovadora.,False
Cantoras Portuguesas,2025-04-22 13:30:00,20.0,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve.",False
Guard Dog & Bill Plympton no Brasil,2025-04-22 13:50:00,10.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
70 Anos de Edu Lobo,2025-04-22 14:00:00,30.0,Music,"Em estúdio, Edu Lobo recebe seus amigos Joyce, Mauro Senise, Gilson Peranzeta, Carlos Malta e Roberta Sá para versões exclusivas de seu repertório.",False
70 Anos de Edu Lobo,2025-04-22 14:30:00,25.0,Music,"Em estúdio, Edu Lobo recebe seus amigos Joyce, Mauro Senise, Gilson Peranzeta, Carlos Malta e Roberta Sá para versões exclusivas de seu repertório.",False
70 Anos de Edu Lobo,2025-04-22 14:55:00,30.0,Music,"Em estúdio, Edu Lobo recebe seus amigos Joyce, Mauro Senise, Gilson Peranzeta, Carlos Malta e Roberta Sá para versões exclusivas de seu repertório.",False
70 Anos de Edu Lobo,2025-04-22 15:25:00,25.0,Music,"Em estúdio, Edu Lobo recebe seus amigos Joyce, Mauro Senise, Gilson Peranzeta, Carlos Malta e Roberta Sá para versões exclusivas de seu repertório.",False
Cantoras Portuguesas,2025-04-22 15:50:00,15.0,Entertainment,"Forte e autêntica, Simone de Oliveira comenta as vitórias da mulher portuguesa e do seu trabalho com Amália Rodrigues. Ela revela também não trocar a voz de cantora pela antiga voz de locutora que já teve.",False
Guard Dog & Bill Plympton no Brasil,2025-04-22 16:05:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
